分类名称,简短描述,代表角色 (你更像是...)
经理人,视社团为准社会化机构，推崇以商业逻辑和严谨科层制实现社会价值最大化。,雪之下雪乃《我的青春恋爱物语果然有问题》
建制派,追求合规框架下的最大化福利与影响力，主张通过商业手段让社团成为广泛的的娱乐平台。,常守朱《心理测量者》
技术官僚,在合规前提下追求极致的技术指标，认为高质量的成品是社团生存的唯一底气。,四宫辉夜《辉夜大小姐想让我告白～天才们的恋爱头脑战～》
保卫者,强调合规与稳定，认为物质保障是维持小圈子氛围的前提。拒绝激进改变。,琴吹紬《轻音少女》
哲人王,坚守纯粹创作初心，但主张通过规范化的集体力量和精英领导力，将亚文化推向主流。,西住真穗《少女与战车》
组织者, 强调组织纪律是为了守护成员的情感羁绊，主张人人参与，合力传教。,高坂穗乃果《LoveLive!》
卫道士,视社团文化为神圣遗产，推崇严厉的规制与精英传承，极度排斥商业化与圈外干扰。,晓美焰《魔法少女小圆》
纪念碑,认为社团应是守规矩的同好避难所，通过行政保护维持一个低门槛但高度纯净的小圈子。,古河渚《Clannad》
海盗,蔑视行政枷锁，主张通过技术手段和市场逻辑，在无边界的互联网中扩张。,茅场晶彦《刀剑神域》
网红,拥抱商业与流行文化，主张彻底打破社团门槛，让每个人都能在自由互联中享受。,祐天寺若麦《Avemujica》
极客,拒绝体制管理，只在乎作品的技术高度。,桥田至《命运石之门》
日子人,只要不被打扰，不介意使用AI或买现成物料，主张在自由氛围中通过物质享受维持社群现状。,小林《小林家的龙女仆》
独狼,拒绝行政规训，坚信天才般的纯粹创作能够跨越圈层，主张通过高强度、颠覆性的创作冲击主流审美。,山田凉《孤独摇滚》
传教士,坚信万物皆可二次元，主张在完全自由的环境下，让每一个人都能无门槛地参与纯粹的创作。,凉宫春日《凉宫春日系列》
学者,拒绝行政干扰与大众审美，在深邃的亚文化孤岛中独自享受。,帕秋莉·诺蕾姬《东方project》
部落民,视行政为粪土，视技术为外物，主张在绝对的自由与平等中，与同好们进行散漫的情感交流。,泉此方《幸运星》